Year,Sex,County,First Name,Count,max in M&F
2013,M,ST LAWRENCE,GAVIN,9,10
2013,M,ST LAWRENCE,LEVI,9,10
2013,M,NEW YORK,LOGAN,44,123
2013,M,NEW YORK,HUDSON,49,123
2013,M,NEW YORK,GABRIEL,50,123
2013,M,NEW YORK,THEODORE,51,123
2013,F,KINGS,ELIZA,16,196
2013,F,KINGS,MADELEINE,16,196
2013,F,KINGS,ZARA,16,196
2013,F,KINGS,DAISY,16,196
2013,M,NEW YORK,JONATHAN,51,123
2013,M,NEW YORK,CHRISTOPHER,52,123
2013,M,SUFFOLK,LUKE,49,142
2013,M,NEW YORK,JACKSON,53,123
2013,M,SUFFOLK,JACKSON,49,142
2013,M,NEW YORK,JOSHUA,53,123
2013,M,NEW YORK,AIDEN,53,123
2013,M,SUFFOLK,BRANDON,50,142
2013,F,KINGS,JUDY,16,196
2013,M,ST LAWRENCE,MASON,8,10
2013,M,NEW YORK,DAVID,53,123
2013,M,ST LAWRENCE,NOAH,8,10
2013,M,ST LAWRENCE,AIDEN,8,10
2013,M,NEW YORK,SEBASTIAN,57,123
2013,M,NEW YORK,SAMUEL,59,123
2013,M,NEW YORK,MAX,62,123
2013,F,KINGS,DEVORA,16,196
2013,M,NEW YORK,OLIVER,66,123
2013,M,NEW YORK,JOSEPH,66,123
2013,M,NEW YORK,JAYDEN,66,123
2013,M,NEW YORK,LEO,67,123
2013,M,NEW YORK,JOHN,68,123
2013,M,NEW YORK,MICHAEL,68,123
2013,M,NEW YORK,MASON,69,123
2013,M,NEW YORK,MATTHEW,76,123
2013,M,NEW YORK,CHARLES,77,123
2013,F,KINGS,YEHUDIS,16,196
2013,F,KINGS,SABRINA,15,196
2013,F,KINGS,LUNA,15,196
2013,F,KINGS,MILAN,15,196
2013,F,KINGS,DANIELLE,15,196
2013,F,KINGS,ISLA,15,196
2013,F,KINGS,PARIS,15,196
2013,F,KINGS,LOLA,15,196
2013,F,KINGS,NYLAH,15,196
2013,F,KINGS,HELEN,15,196
2013,F,KINGS,ADELE,15,196
2013,M,NEW YORK,LIAM,81,123
2013,M,ST LAWRENCE,LIAM,7,10
2013,M,NEW YORK,DYLAN,85,123
2013,M,NEW YORK,DANIEL,85,123
2013,M,ST LAWRENCE,JAMES,7,10
2013,M,NEW YORK,BENJAMIN,86,123
2013,M,NEW YORK,HENRY,87,123
2013,M,NEW YORK,RYAN,92,123
2013,M,NEW YORK,LUCAS,93,123
2013,M,NEW YORK,ETHAN,97,123
2013,M,NEW YORK,JAMES,99,123
2013,M,ST LAWRENCE,WYATT,7,10
2013,M,SUFFOLK,JOSHUA,50,142
2013,F,KINGS,SURI,15,196
2013,F,KINGS,ZISSY,15,196
2013,M,ST LAWRENCE,LUCAS,6,10
2013,F,KINGS,YIDES,15,196
2013,M,ST LAWRENCE,OLIVER,6,10
2013,M,NEW YORK,JACOB,100,123
2013,M,NEW YORK,JACK,101,123
2013,M,NEW YORK,NOAH,115,123
2013,M,NEW YORK,WILLIAM,119,123
2013,M,NEW YORK,ALEXANDER,123,123
2013,F,NEW YORK,COLETTE,10,125
2013,F,NEW YORK,CAMILLA,10,125
2013,F,NEW YORK,ELLE,10,125
2013,F,NEW YORK,ANYA,10,125
2013,F,NEW YORK,LENA,10,125
2013,F,NEW YORK,MILAN,10,125
2013,F,NEW YORK,CORA,10,125
2013,F,NEW YORK,GIA,10,125
2013,F,KINGS,MIREL,15,196
2013,M,SUFFOLK,DAVID,51,142
2013,M,SUFFOLK,BENJAMIN,53,142
2013,M,SUFFOLK,GAVIN,54,142
2013,M,SUFFOLK,AIDEN,54,142
2013,M,SUFFOLK,ETHAN,56,142
2013,F,KINGS,MADELINE,14,196
2013,F,KINGS,ELLIE,14,196
2013,F,KINGS,ANDREA,14,196
2013,F,KINGS,MARIAH,14,196
2013,F,KINGS,CECILIA,14,196
2013,F,KINGS,TRINITY,14,196
2013,F,KINGS,LEILANI,14,196
2013,F,KINGS,HARMONY,14,196
2013,F,KINGS,SELENA,14,196
2013,F,NEW YORK,SABRINA,10,125
2013,F,NEW YORK,AMANDA,10,125
2013,F,NEW YORK,LAUREN,10,125
2013,F,NEW YORK,MICHELLE,10,125
2013,F,NEW YORK,LONDON,10,125
2013,F,NEW YORK,MELANIE,10,125
2013,F,NEW YORK,RACHEL,10,125
2013,F,NEW YORK,MARGOT,11,125
2013,F,NEW YORK,BEATRICE,11,125
2013,F,NEW YORK,NOA,11,125
2013,F,NEW YORK,HAZEL,11,125
2013,F,NEW YORK,JACQUELINE,11,125
2013,F,NEW YORK,DELILAH,11,125
2013,F,NEW YORK,KIARA,11,125
2013,F,NEW YORK,ANASTASIA,11,125
2013,F,NEW YORK,MARY,11,125
2013,F,NEW YORK,JESSICA,11,125
2013,M,SUFFOLK,LOGAN,58,142
2013,M,WESTCHESTER,JAMES,45,85
2013,F,KINGS,ABBY,14,196
2013,F,KINGS,JENNY,14,196
2013,F,KINGS,MILANA,14,196
2013,F,KINGS,ADDISON,13,196
2013,M,ST LAWRENCE,ELI,6,10
2013,M,ST LAWRENCE,LANDON,6,10
2013,M,ST LAWRENCE,CARSON,6,10
2013,M,ST LAWRENCE,ALEXANDER,5,10
2013,M,ST LAWRENCE,SAMUEL,5,10
2013,F,KINGS,ALEXIS,13,196
2013,F,KINGS,MACKENZIE,13,196
2013,F,KINGS,ANNABELLE,13,196
2013,F,KINGS,ADRIANNA,13,196
2013,F,KINGS,KIARA,13,196
2013,F,KINGS,KELLY,13,196
2013,F,KINGS,ALEXIA,13,196
2013,F,KINGS,KATELYN,13,196
2013,F,KINGS,LESLIE,13,196
2013,M,ST LAWRENCE,JACKSON,5,10
2013,M,ST LAWRENCE,HENRY,5,10
2013,F,KINGS,ATHENA,13,196
2013,F,KINGS,HANNA,13,196
2013,F,KINGS,ANIYAH,13,196
2013,F,KINGS,CRYSTAL,13,196
2013,F,NEW YORK,JULIET,11,125
2013,F,NEW YORK,VALERIE,11,125
2013,F,KINGS,ELOISE,13,196
2013,F,KINGS,ALEENA,13,196
2013,F,NEW YORK,ELLIE,11,125
2013,F,NEW YORK,MADELYN,11,125
2013,F,NEW YORK,AMY,11,125
2013,F,NEW YORK,MIRIAM,11,125
2013,F,NEW YORK,ALEXIS,11,125
2013,F,NEW YORK,SAVANNAH,11,125
2013,F,NEW YORK,MATILDA,12,125
2013,M,SUFFOLK,NOAH,60,142
2013,M,SUFFOLK,JUSTIN,63,142
2013,M,SUFFOLK,CHRISTIAN,63,142
2013,M,SUFFOLK,LIAM,70,142
2013,F,KINGS,ADA,13,196
2013,F,KINGS,JOYCE,13,196
2013,F,KINGS,SIMONE,13,196
2013,F,KINGS,JUNE,13,196
2013,F,KINGS,ADINA,13,196
2013,F,NEW YORK,LIV,12,125
2013,M,SUFFOLK,THOMAS,71,142
2013,F,KINGS,WENDY,13,196
2013,M,ST LAWRENCE,OWEN,5,10
2013,F,NEW YORK,HELENA,12,125
2013,M,SUFFOLK,JOHN,71,142
2013,M,SUFFOLK,ANDREW,74,142
2013,F,NEW YORK,GEORGIA,12,125
2013,F,NEW YORK,SASHA,12,125
2013,F,NEW YORK,IRIS,12,125
2013,F,NEW YORK,LYLA,12,125
2013,M,SUFFOLK,JACK,74,142
2013,M,WESTCHESTER,ANDREW,47,85
2013,M,ST LAWRENCE,CHASE,5,10
2013,M,ST LAWRENCE,BRAYDEN,5,10
2013,M,ST LAWRENCE,LINCOLN,5,10
2013,M,ST LAWRENCE,JASE,5,10
2013,F,NEW YORK,JAYLA,12,125
2013,F,NEW YORK,IVY,12,125
2013,F,NEW YORK,CHELSEA,12,125
2013,F,NEW YORK,LEILA,12,125
2013,F,NEW YORK,QUINN,12,125
2013,F,NEW YORK,NICOLE,12,125
2013,F,NEW YORK,PEYTON,12,125
2013,F,NEW YORK,DAPHNE,13,125
2013,F,NEW YORK,PHOEBE,13,125
2013,F,NEW YORK,ROSE,13,125
2013,F,NEW YORK,JOSEPHINE,13,125
2013,F,NEW YORK,JADE,13,125
2013,F,NEW YORK,KHLOE,13,125
2013,F,NEW YORK,MORGAN,13,125
2013,F,NEW YORK,JASMINE,13,125
2013,F,NEW YORK,SERENITY,13,125
2013,F,NEW YORK,SARA,13,125
2013,F,NEW YORK,KAYLEE,13,125
2013,F,NEW YORK,AUBREY,13,125
2013,F,NEW YORK,BRIANNA,13,125
2013,F,NEW YORK,JANE,14,125
2013,F,NEW YORK,LOLA,14,125
2013,F,NEW YORK,MARGARET,14,125
2013,F,NEW YORK,CECILIA,14,125
2013,F,NEW YORK,AMBER,14,125
2013,F,NEW YORK,LIA,14,125
2013,F,NEW YORK,RUBY,14,125
2013,F,NEW YORK,SKYLAR,14,125
2013,F,NEW YORK,GENESIS,14,125
2013,F,KINGS,SKYLAH,13,196
2013,F,KINGS,WINNIE,13,196
2013,F,KINGS,HADASSAH,13,196
2013,F,KINGS,ANISA,13,196
2013,F,KINGS,SHIFRA,13,196
2013,F,KINGS,PERL,13,196
2013,F,KINGS,BREINDY,13,196
2013,F,KINGS,JULIANA,12,196
2013,F,KINGS,PAIGE,12,196
2013,F,KINGS,LILIANA,12,196
2013,F,KINGS,SIENNA,12,196
2013,F,KINGS,EMELY,12,196
2013,F,KINGS,ALIYAH,12,196
2013,F,KINGS,CORA,12,196
2013,F,KINGS,GISELLE,12,196
2013,F,KINGS,ELISE,12,196
2013,F,KINGS,KARINA,12,196
2013,F,KINGS,MAGGIE,12,196
2013,F,KINGS,CAMILLE,12,196
2013,F,KINGS,VALERIA,12,196
2013,F,KINGS,KAYLIN,12,196
2013,F,KINGS,HEAVEN,12,196
2013,F,KINGS,JAYLEEN,12,196
2013,F,KINGS,ANGELICA,12,196
2013,F,KINGS,AMIYAH,12,196
2013,F,KINGS,EILEEN,12,196
2013,F,KINGS,SHIRLEY,12,196
2013,F,KINGS,ELAINE,12,196
2013,F,KINGS,SELINA,12,196
2013,F,KINGS,AHUVA,12,196
2013,F,KINGS,RENEE,12,196
2013,F,KINGS,SHIRA,12,196
2013,F,KINGS,ALISA,12,196
2013,F,KINGS,ELISHEVA,12,196
2013,F,KINGS,FRADEL,12,196
2013,F,KINGS,FRIMET,12,196
2013,F,KINGS,RIFKY,12,196
2013,F,KINGS,GIULIANA,11,196
2013,F,KINGS,PAYTON,11,196
2013,F,STEUBEN,EMMA,12,12
2013,F,STEUBEN,LILLIAN,8,12
2013,F,KINGS,CLARA,11,196
2013,F,KINGS,AURORA,11,196
2013,F,STEUBEN,ABIGAIL,7,12
2013,F,STEUBEN,OLIVIA,6,12
2013,F,STEUBEN,AVA,5,12
2013,F,NEW YORK,ADDISON,14,125
2013,F,NEW YORK,KAYLA,14,125
2013,F,NEW YORK,AALIYAH,14,125
2013,F,NEW YORK,ELIZA,15,125
2013,F,NEW YORK,EMILIA,15,125
2013,F,NEW YORK,ELENA,15,125
2013,F,NEW YORK,REBECCA,15,125
2013,F,NEW YORK,ISLA,16,125
2013,F,NEW YORK,TALIA,16,125
2013,M,SUFFOLK,JAYDEN,74,142
2013,F,STEUBEN,GABRIELLA,5,12
2013,F,KINGS,LILA,11,196
2013,M,SUFFOLK,LUCAS,76,142
2013,F,KINGS,LUCIA,11,196
2013,F,KINGS,ARYA,11,196
2013,F,STEUBEN,HANNAH,5,12
2013,F,KINGS,AISHA,11,196
2013,F,KINGS,JANE,11,196
2013,F,STEUBEN,ZOEY,5,12
2013,F,STEUBEN,PAISLEY,5,12
2013,M,STEUBEN,NOAH,12,12
2013,M,STEUBEN,LOGAN,9,12
2013,M,STEUBEN,LANDON,9,12
2013,F,NEW YORK,JULIETTE,16,125
2013,M,WESTCHESTER,RYAN,48,85
2013,M,STEUBEN,LIAM,7,12
2013,F,KINGS,DANNA,11,196
2013,F,KINGS,YARETZI,11,196
2013,F,KINGS,SARAI,11,196
2013,F,NEW YORK,NYLA,16,125
2013,F,NEW YORK,PAIGE,16,125
2013,F,NEW YORK,FIONA,16,125
2013,F,NEW YORK,TAYLOR,16,125
2013,F,NEW YORK,ALLISON,16,125
2013,F,NEW YORK,ELOISE,17,125
2013,F,NEW YORK,ANNABELLE,17,125
2013,F,NEW YORK,ISABELLE,17,125
2013,M,SUFFOLK,ALEXANDER,78,142
2013,M,SUFFOLK,JACOB,84,142
2013,M,SUFFOLK,DANIEL,87,142
2013,M,SUFFOLK,CHRISTOPHER,91,142
2013,F,KINGS,DAPHNE,11,196
2013,F,KINGS,KAMILA,11,196
2013,F,KINGS,SKYLA,11,196
2013,F,KINGS,CELINE,11,196
2013,F,KINGS,SAMARA,11,196
2013,F,KINGS,ALIZA,11,196
2013,F,NEW YORK,MARIA,17,125
2013,F,NEW YORK,KYLIE,17,125
2013,M,SUFFOLK,JAMES,91,142
2013,M,SUFFOLK,MASON,97,142
2013,M,SUFFOLK,RYAN,100,142
2013,M,SUFFOLK,DYLAN,107,142
2013,F,KINGS,NOA,11,196
2013,F,KINGS,ZAHRA,11,196
2013,F,KINGS,JAYDA,11,196
2013,F,NEW YORK,ARIA,17,125
2013,F,NEW YORK,ELIANA,18,125
2013,M,SUFFOLK,NICHOLAS,125,142
2013,M,SUFFOLK,ANTHONY,128,142
2013,M,SUFFOLK,JOSEPH,129,142
2013,M,SUFFOLK,MATTHEW,132,142
2013,F,KINGS,YAEL,11,196
2013,F,NEW YORK,SLOANE,19,125
2013,F,NEW YORK,LILA,19,125
2013,F,NEW YORK,CLARA,19,125
2013,F,NEW YORK,ALICE,19,125
2013,F,NEW YORK,CLAIRE,19,125
2013,F,NEW YORK,LILLIAN,19,125
2013,F,NEW YORK,LAYLA,19,125
2013,M,SUFFOLK,MICHAEL,142,142
2013,F,SUFFOLK,CHARLEIGH,5,128
2013,F,SUFFOLK,HOLLY,5,128
2013,F,SUFFOLK,KEYLA,5,128
2013,F,SUFFOLK,LINDSAY,5,128
2013,F,KINGS,SHERLYN,11,196
2013,F,KINGS,ERICA,11,196
2013,F,KINGS,LINDA,11,196
2013,F,KINGS,RAIZEL,11,196
2013,F,KINGS,SYLVIA,11,196
2013,F,KINGS,MALAK,11,196
2013,F,SUFFOLK,ANTONELLA,5,128
2013,F,KINGS,GITTEL,11,196
2013,F,NEW YORK,RILEY,19,125
2013,F,SUFFOLK,NATHALY,5,128
2013,F,KINGS,SHANIA,11,196
